trade_date,natural_days_to_5pct_close_move,breach_date,breach_close
2005-01-04,28,2005-01-31,924.17
2005-01-05,27,2005-01-31,924.17
2005-01-06,26,2005-01-31,924.17
2005-01-07,25,2005-01-31,924.17
2005-01-10,19,2005-01-28,963.01
2005-01-11,18,2005-01-28,963.01
2005-01-12,17,2005-01-28,963.01
2005-01-13,16,2005-01-28,963.01
2005-01-14,18,2005-01-31,924.17
2005-01-17,15,2005-01-31,924.17
2005-01-18,14,2005-01-31,924.17
2005-01-19,13,2005-01-31,924.17
2005-01-20,12,2005-01-31,924.17
2005-01-21,11,2005-01-31,924.17
2005-01-24,5,2005-01-28,963.01
2005-01-25,4,2005-01-28,963.01
2005-01-26,6,2005-01-31,924.17
2005-01-27,5,2005-01-31,924.17
2005-01-28,5,2005-02-01,905.80
2005-01-31,18,2005-02-17,973.81
2005-02-01,2,2005-02-02,958.39
2005-02-02,21,2005-02-22,1015.66
2005-02-03,20,2005-02-22,1015.66
2005-02-04,19,2005-02-22,1015.66
2005-02-16,7,2005-02-22,1015.66
2005-02-17,7,2005-02-23,1032.90
2005-02-18,5,2005-02-22,1015.66
2005-02-21,3,2005-02-23,1032.90
2005-02-22,25,2005-03-18,946.71
2005-02-23,23,2005-03-17,967.59
2005-02-24,21,2005-03-16,982.84
2005-02-25,21,2005-03-17,967.59
2005-02-28,18,2005-03-17,967.59
2005-03-01,17,2005-03-17,967.59
2005-03-02,17,2005-03-18,946.71
2005-03-03,15,2005-03-17,967.59
2005-03-04,15,2005-03-18,946.71
2005-03-07,12,2005-03-18,946.71
2005-03-08,9,2005-03-16,982.84
2005-03-09,8,2005-03-16,982.84
2005-03-10,9,2005-03-18,946.71
2005-03-11,8,2005-03-18,946.71
2005-03-14,5,2005-03-18,946.71
2005-03-15,8,2005-03-22,915.94
2005-03-16,7,2005-03-22,915.94
2005-03-17,6,2005-03-22,915.94
2005-03-18,13,2005-03-30,869.58
2005-03-21,10,2005-03-30,869.58
2005-03-22,9,2005-03-30,869.58
2005-03-23,8,2005-03-30,869.58
2005-03-24,7,2005-03-30,869.58
2005-03-25,6,2005-03-30,869.58
2005-03-28,24,2005-04-20,844.93
2005-03-29,23,2005-04-20,844.93
2005-03-30,3,2005-04-01,913.85
2005-03-31,9,2005-04-08,931.38
2005-04-01,19,2005-04-19,867.23
2005-04-04,17,2005-04-20,844.93
2005-04-05,4,2005-04-08,931.38
2005-04-06,15,2005-04-20,844.93
2005-04-07,13,2005-04-19,867.23
2005-04-08,11,2005-04-18,868.33
2005-04-11,8,2005-04-18,868.33
2005-04-12,9,2005-04-20,844.93
2005-04-13,6,2005-04-18,868.33
2005-04-14,5,2005-04-18,868.33
2005-04-15,7,2005-04-21,826.05
2005-04-18,5,2005-04-22,806.65
2005-04-19,4,2005-04-22,806.65
2005-04-20,6,2005-04-25,789.54
2005-04-21,19,2005-05-09,771.08
2005-04-22,32,2005-05-23,758.68
2005-04-25,46,2005-06-09,836.83
2005-04-26,28,2005-05-23,758.68
2005-04-27,44,2005-06-09,836.83
2005-04-28,12,2005-05-09,771.08
2005-04-29,25,2005-05-23,758.68
2005-05-09,31,2005-06-08,826.23
2005-05-10,30,2005-06-08,826.23
2005-05-11,29,2005-06-08,826.23
2005-05-12,28,2005-06-08,826.23
2005-05-13,27,2005-06-08,826.23
2005-05-16,24,2005-06-08,826.23
2005-05-17,23,2005-06-08,826.23
2005-05-18,23,2005-06-09,836.83
2005-05-19,22,2005-06-09,836.83
2005-05-20,21,2005-06-09,836.83
2005-05-23,17,2005-06-08,826.23
2005-05-24,16,2005-06-08,826.23
2005-05-25,15,2005-06-08,826.23
2005-05-26,14,2005-06-08,826.23
2005-05-27,13,2005-06-08,826.23
2005-05-30,10,2005-06-08,826.23
2005-05-31,9,2005-06-08,826.23
2005-06-01,8,2005-06-08,826.23
2005-06-02,7,2005-06-08,826.23
2005-06-03,6,2005-06-08,826.23
2005-06-06,3,2005-06-08,826.23
2005-06-07,2,2005-06-08,826.23
2005-06-08,23,2005-06-30,781.83
2005-06-09,7,2005-06-15,788.29
2005-06-10,22,2005-07-01,743.12
2005-06-13,18,2005-06-30,781.83
2005-06-14,18,2005-07-01,743.12
2005-06-15,17,2005-07-01,743.12
2005-06-16,16,2005-07-01,743.12
2005-06-17,15,2005-07-01,743.12
2005-06-20,12,2005-07-01,743.12
2005-06-21,11,2005-07-01,743.12
2005-06-22,10,2005-07-01,743.12
2005-06-23,9,2005-07-01,743.12
2005-06-24,8,2005-07-01,743.12
2005-06-27,5,2005-07-01,743.12
2005-06-28,4,2005-07-01,743.12
2005-06-29,3,2005-07-01,743.12
2005-06-30,5,2005-07-04,734.95
2005-07-01,11,2005-07-11,694.83
2005-07-04,8,2005-07-11,694.83
2005-07-05,11,2005-07-15,690.49
2005-07-06,10,2005-07-15,690.49
2005-07-07,5,2005-07-11,694.83
2005-07-08,11,2005-07-18,669.03
2005-07-11,22,2005-08-01,729.90
