trade_date,start_close,natural_days_to_5pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2005-05-10,773.20,30,2005-06-08,up,830.13,770.08,811.86,734.54
2005-05-11,772.08,29,2005-06-08,up,830.13,770.08,810.68,733.48
2005-05-12,769.02,28,2005-06-08,up,830.13,770.08,807.47,730.57
2005-05-13,779.49,27,2005-06-08,up,830.13,770.08,818.46,740.52
2005-05-16,776.54,24,2005-06-08,up,830.13,770.08,815.37,737.71
2005-05-17,785.44,21,2005-06-06,down,766.81,743.67,824.71,746.17
2005-05-18,794.57,7,2005-05-24,down,782.26,753.41,834.30,754.84
2005-05-19,794.49,6,2005-05-24,down,782.26,753.41,834.21,754.77
2005-05-20,787.90,15,2005-06-03,down,762.25,747.06,827.29,748.50
2005-05-23,758.68,17,2005-06-08,up,830.13,770.08,796.61,720.75
2005-05-24,777.77,16,2005-06-08,up,830.13,770.08,816.66,738.88
2005-05-25,781.99,15,2005-06-08,up,830.13,770.08,821.09,742.89
2005-05-26,772.87,14,2005-06-08,up,830.13,770.08,811.51,734.23
2005-05-27,767.27,13,2005-06-08,up,830.13,770.08,805.63,728.91
2005-05-30,776.41,10,2005-06-08,up,830.13,770.08,815.23,737.59
2005-05-31,775.74,9,2005-06-08,up,830.13,770.08,814.53,736.95
2005-06-01,760.51,8,2005-06-08,up,830.13,770.08,798.54,722.48
2005-06-02,756.82,7,2005-06-08,up,830.13,770.08,794.66,718.98
2005-06-03,756.91,6,2005-06-08,up,830.13,770.08,794.76,719.06
2005-06-06,766.73,3,2005-06-08,up,830.13,770.08,805.07,728.39
2005-06-07,767.91,2,2005-06-08,up,830.13,770.08,806.31,729.51
2005-06-08,826.23,9,2005-06-16,down,797.53,778.75,867.54,784.92
2005-06-09,836.83,7,2005-06-15,down,805.59,786.85,878.67,794.99
2005-06-10,820.00,7,2005-06-16,down,797.53,778.75,861.00,779.00
2005-06-13,825.87,4,2005-06-16,down,797.53,778.75,867.16,784.58
2005-06-14,807.36,18,2005-07-01,down,779.48,742.13,847.73,766.99
2005-06-15,788.29,13,2005-06-27,up,828.19,804.25,827.70,748.88
2005-06-16,797.43,16,2005-07-01,down,779.48,742.13,837.30,757.56
2005-06-17,790.55,15,2005-07-01,down,779.48,742.13,830.08,751.02
2005-06-20,813.12,12,2005-07-01,down,779.48,742.13,853.78,772.46
2005-06-21,806.02,11,2005-07-01,down,779.48,742.13,846.32,765.72
2005-06-22,810.03,10,2005-07-01,down,779.48,742.13,850.53,769.53
2005-06-23,796.05,9,2005-07-01,down,779.48,742.13,835.85,756.25
2005-06-24,799.70,8,2005-07-01,down,779.48,742.13,839.69,759.72
2005-06-27,822.88,4,2005-06-30,down,804.46,781.71,864.02,781.74
2005-06-28,807.64,4,2005-07-01,down,779.48,742.13,848.02,767.26
2005-06-29,805.10,3,2005-07-01,down,779.48,742.13,845.36,764.85
2005-06-30,781.83,2,2005-07-01,down,779.48,742.13,820.92,742.74
2005-07-01,743.12,11,2005-07-11,down,726.19,693.62,780.28,705.96
2005-07-04,734.95,8,2005-07-11,down,726.19,693.62,771.70,698.20
2005-07-05,729.36,8,2005-07-12,down,722.14,685.78,765.83,692.89
2005-07-06,727.06,7,2005-07-12,down,722.14,685.78,763.41,690.71
2005-07-07,732.05,5,2005-07-11,down,726.19,693.62,768.65,695.45
2005-07-08,706.74,11,2005-07-18,down,688.09,665.87,742.08,671.40
