bucket,start_day,end_day,count,percentage
1-10,1,10,1606,30.8965
11-20,11,20,1422,27.3567
21-30,21,30,880,16.9296
31-40,31,40,448,8.6187
41-50,41,50,274,5.2713
51-60,51,60,211,4.0593
61-70,61,70,111,2.1354
71-80,71,80,93,1.7891
81-90,81,90,44,0.8465
91-100,91,100,39,0.7503
101-110,101,110,18,0.3463
111-120,111,120,17,0.3270
121-130,121,130,6,0.1154
131-140,131,140,9,0.1731
141-150,141,150,4,0.0770
151-160,151,160,1,0.0192
161-170,161,170,0,0.0000
171-180,171,180,0,0.0000
181-190,181,190,1,0.0192
no_breach_yet,,,14,0.2693
