bucket,start_day,end_day,count,percentage
1-10,1,10,2007,38.6110
11-20,11,20,1437,27.6452
21-30,21,30,760,14.6210
31-40,31,40,374,7.1951
41-50,41,50,206,3.9631
51-60,51,60,167,3.2128
61-70,61,70,101,1.9431
71-80,71,80,62,1.1928
81-90,81,90,32,0.6156
91-100,91,100,20,0.3848
101-110,101,110,9,0.1731
111-120,111,120,14,0.2693
121-130,121,130,0,0.0000
131-140,131,140,2,0.0385
no_breach_yet,,,7,0.1347
