日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2016-05-03,09:30:00,股票,丰原药业(000153.XSHE),买,市价单,104900股,10.32,1082568,104900股,-,0,324.77,全部成交,2016-05-03 09:30:00
2016-05-30,09:30:00,股票,红星发展(600367.XSHG),卖,市价单,-84800股,11,-932800,-84800股,-,40704,1212.64,全部成交,2016-05-30 09:30:00
2016-05-30,09:30:00,股票,友好集团(600778.XSHG),买,市价单,99800股,9.42,940116,99800股,-,0,282.03,全部成交,2016-05-30 09:30:00
2016-06-20,09:30:00,股票,高盟新材(300200.XSHE),卖,市价单,-57500股,15.01,-863075,-57500股,-,-125925,1122,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,友好集团(600778.XSHG),卖,市价单,-99800股,9.3,-928140,-99800股,-,-11976,1206.58,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,金花股份(600080.XSHG),买,市价单,85800股,10.44,895752,85800股,-,0,268.73,全部成交,2016-06-20 09:30:00
2016-06-20,09:30:00,股票,宏达高科(002144.XSHE),买,市价单,47400股,18.77,889698,47400股,-,0,266.91,全部成交,2016-06-20 09:30:00
2016-06-27,09:30:00,股票,金花股份(600080.XSHG),卖,市价单,-85800股,11.16,-957528,-85800股,-,61776,1244.79,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,宏达高科(002144.XSHE),卖,市价单,-47400股,19.2,-910080,-47400股,-,20382,1183.1,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,宁波中百(600857.XSHG),买,市价单,65600股,14.26,935456,65600股,-,0,280.64,全部成交,2016-06-27 09:30:00
2016-06-27,09:30:00,股票,茂化实华(000637.XSHE),买,市价单,150900股,6.2,935580,150900股,-,0,280.67,全部成交,2016-06-27 09:30:00
2016-08-08,09:30:00,股票,茂化实华(000637.XSHE),卖,市价单,-150900股,6.52,-983868,-150900股,-,48288,1279.03,全部成交,2016-08-08 09:30:00
2016-08-08,09:30:00,股票,万向德农(600371.XSHG),买,市价单,65000股,15.06,978900,65000股,-,0,293.67,全部成交,2016-08-08 09:30:00
2016-08-22,09:30:00,股票,丰乐种业(000713.XSHE),卖,市价单,-93500股,11.4,-1065900,-93500股,-,18700,1385.67,全部成交,2016-08-22 09:30:00
2016-08-22,09:30:00,股票,万向德农(600371.XSHG),卖,市价单,-65000股,15.96,-1037400,-65000股,-,58500,1348.62,全部成交,2016-08-22 09:30:00
2016-08-22,09:30:00,股票,茂化实华(000637.XSHE),买,市价单,154900股,6.82,1056418,154900股,-,0,316.93,全部成交,2016-08-22 09:30:00
2016-08-22,09:30:00,股票,金自天正(600560.XSHG),买,市价单,66200股,15.9,1052580,66200股,-,0,315.77,全部成交,2016-08-22 09:30:00
2016-08-29,09:30:00,股票,丰原药业(000153.XSHE),卖,市价单,-104900股,11.98,-1256702,-104900股,-,184624,1633.71,全部成交,2016-08-29 09:30:00
2016-08-29,09:30:00,股票,茂化实华(000637.XSHE),卖,市价单,-154900股,6.76,-1047124,-154900股,-,-9294,1361.26,全部成交,2016-08-29 09:30:00
2016-08-29,09:30:00,股票,通源石油(300164.XSHE),买,市价单,147100股,7.84,1153264,147100股,-,0,345.98,全部成交,2016-08-29 09:30:00
2016-08-29,09:30:00,股票,国际实业(000159.XSHE),买,市价单,161300股,7.12,1148456,161300股,-,0,344.54,全部成交,2016-08-29 09:30:00
2016-09-05,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-66200股,15.8,-1045960,-66200股,-,-6620,1359.75,全部成交,2016-09-05 09:30:00
2016-09-05,09:30:00,股票,丰原药业(000153.XSHE),买,市价单,92200股,11.32,1043704,92200股,-,0,313.11,全部成交,2016-09-05 09:30:00
2016-09-12,09:30:00,股票,国际实业(000159.XSHE),卖,市价单,-161300股,7.4,-1193620,-161300股,-,45164,1551.71,全部成交,2016-09-12 09:30:00
2016-09-12,09:30:00,股票,金自天正(600560.XSHG),买,市价单,74500股,15.98,1190510,74500股,-,0,357.15,全部成交,2016-09-12 09:30:00
2016-09-19,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-74500股,15.74,-1172630,-74500股,-,-17880,1524.42,全部成交,2016-09-19 09:30:00
2016-09-19,09:30:00,股票,万向德农(600371.XSHG),买,市价单,75400股,15.52,1170208,75400股,-,0,351.06,全部成交,2016-09-19 09:30:00
2016-09-26,09:30:00,股票,万向德农(600371.XSHG),卖,市价单,-75400股,16.08,-1212432,-75400股,-,42224,1576.16,全部成交,2016-09-26 09:30:00
2016-09-26,09:30:00,股票,金自天正(600560.XSHG),买,市价单,74600股,16.24,1211504,74600股,-,0,363.45,全部成交,2016-09-26 09:30:00
2016-10-17,09:30:00,股票,通源石油(300164.XSHE),卖,市价单,-147100股,8.72,-1282712,-147100股,-,129448,1667.53,全部成交,2016-10-17 09:30:00
2016-10-17,09:30:00,股票,光韵达(300227.XSHE),买,市价单,50100股,25.56,1280556,50100股,-,0,384.17,全部成交,2016-10-17 09:30:00
2016-10-24,09:30:00,股票,光韵达(300227.XSHE),卖,市价单,-50100股,27.08,-1356708,-50100股,-,76152,1763.72,全部成交,2016-10-24 09:30:00
2016-10-24,09:30:00,股票,通源石油(300164.XSHE),买,市价单,157800股,8.6,1357080,157800股,-,0,407.12,全部成交,2016-10-24 09:30:00
2016-10-31,09:30:00,股票,金自天正(600560.XSHG),卖,市价单,-74600股,16.28,-1214488,-74600股,-,2984,1578.83,全部成交,2016-10-31 09:30:00
2016-10-31,09:30:00,股票,通源石油(300164.XSHE),卖,市价单,-157800股,8.41,-1327098,-157800股,-,-29982,1725.23,全部成交,2016-10-31 09:30:00
2016-10-31,09:30:00,股票,光韵达(300227.XSHE),买,市价单,50700股,24.98,1266486,50700股,-,0,379.95,全部成交,2016-10-31 09:30:00
2016-10-31,09:30:00,股票,福建水泥(600802.XSHG),买,市价单,131500股,9.66,1270290,131500股,-,0,381.09,全部成交,2016-10-31 09:30:00
2016-11-07,09:30:00,股票,宁波中百(600857.XSHG),卖,市价单,-65600股,17.68,-1159808,-65600股,-,224352,1507.75,全部成交,2016-11-07 09:30:00
