日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-06-24,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,27200股,4.743,129009.6,27200股,-,0,19.35,全部成交,2021-06-24 09:30:00
2021-06-28,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-27200股,4.75,-129200,-27200股,-,190.4,19.38,全部成交,2021-06-28 09:30:00
2021-06-28,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39900股,3.238,129196.2,39900股,-,0,19.38,全部成交,2021-06-28 09:30:00
2021-06-30,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39900股,3.302,-131749.8,-39900股,-,2553.6,19.76,全部成交,2021-06-30 09:30:00
2021-06-30,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,27300股,4.82,131586,27300股,-,0,19.74,全部成交,2021-06-30 09:30:00
2021-07-01,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-27300股,4.837,-132050.1,-27300股,-,464.1,19.81,全部成交,2021-07-01 09:30:00
2021-07-01,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39100股,3.381,132197.1,39100股,-,0,19.83,全部成交,2021-07-01 09:30:00
2021-07-02,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39100股,3.332,-130281.2,-39100股,-,-1915.9,19.54,全部成交,2021-07-02 09:30:00
2021-07-02,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,27000股,4.83,130410,27000股,-,0,19.56,全部成交,2021-07-02 09:30:00
2021-07-20,09:30:00,基金,纳指ETF(513100.XSHG),卖,市价单,-27000股,4.851,-130977,-27000股,-,567,19.65,全部成交,2021-07-20 09:30:00
2021-07-20,09:30:00,基金,创业板ETF易方达(159915.XSHE),买,市价单,39400股,3.318,130729.2,39400股,-,0,19.61,全部成交,2021-07-20 09:30:00
2021-07-27,09:30:00,基金,创业板ETF易方达(159915.XSHE),卖,市价单,-39400股,3.259,-128404.6,-39400股,-,-2324.6,19.26,全部成交,2021-07-27 09:30:00
2021-07-27,09:30:00,基金,纳指ETF(513100.XSHG),买,市价单,25500股,5.03,128265,25500股,-,0,19.24,全部成交,2021-07-27 09:30:00
