bucket,start_day,end_day,count,percentage
1-10,1,10,1352,35.7294
11-20,11,20,921,24.3393
21-30,21,30,604,15.9619
31-40,31,40,285,7.5317
41-50,41,50,230,6.0782
51-60,51,60,139,3.6734
61-70,61,70,82,2.1670
71-80,71,80,57,1.5063
81-90,81,90,37,0.9778
91-100,91,100,29,0.7664
101-110,101,110,12,0.3171
111-120,111,120,7,0.1850
121-130,121,130,9,0.2378
131-140,131,140,8,0.2114
141-150,141,150,1,0.0264
151-160,151,160,0,0.0000
161-170,161,170,0,0.0000
171-180,171,180,1,0.0264
no_breach_yet,,,10,0.2643
