trade_date,open,high,low,close
2005-01-04,996.28,996.28,982.99,989.98
2005-01-05,989.87,1018.26,988.57,1013.58
2005-01-06,1014.97,1014.97,1001.21,1005.47
2005-01-07,1005.52,1021.71,1001.10,1011.74
2005-01-10,1011.93,1023.64,1007.80,1023.64
2005-01-11,1024.04,1027.16,1017.79,1027.16
2005-01-12,1026.74,1026.74,1014.77,1024.92
2005-01-13,1024.13,1030.49,1020.67,1029.30
2005-01-14,1028.99,1034.59,1011.44,1011.88
2005-01-17,1002.33,1002.33,984.38,986.66
2005-01-18,985.67,1008.48,985.67,1008.11
2005-01-19,1007.11,1008.22,997.62,1002.46
2005-01-20,999.93,999.93,982.42,989.44
2005-01-21,987.43,1007.92,966.08,1006.25
2005-01-24,1028.01,1029.00,1016.09,1028.01
2005-01-25,1023.10,1023.10,1005.49,1015.10
2005-01-26,1014.25,1015.13,1004.61,1006.84
2005-01-27,1005.89,1005.89,988.12,989.41
2005-01-28,989.41,989.41,960.24,963.01
2005-01-31,954.94,954.94,923.13,924.17
2005-02-01,917.30,929.22,905.21,905.80
2005-02-02,904.13,959.99,904.13,958.39
2005-02-03,956.73,962.26,936.51,936.86
2005-02-04,937.15,954.91,934.96,952.39
2005-02-16,959.28,975.50,958.48,966.39
2005-02-17,966.04,973.81,957.80,973.81
2005-02-18,973.19,974.21,963.76,964.01
2005-02-21,963.58,983.69,963.58,983.61
2005-02-22,983.96,1016.38,982.76,1015.66
2005-02-23,1016.77,1038.91,1010.43,1032.90
2005-02-24,1031.75,1037.78,1023.30,1035.35
2005-02-25,1034.54,1046.99,1032.32,1032.41
2005-02-28,1032.18,1034.46,1021.86,1029.38
2005-03-01,1028.61,1031.54,1018.99,1030.82
2005-03-02,1031.50,1038.35,1013.83,1014.53
2005-03-03,1011.26,1021.45,1003.21,1020.25
2005-03-04,1020.55,1022.23,1009.84,1011.36
2005-03-07,1011.81,1016.56,1009.27,1013.59
2005-03-08,1014.26,1037.06,1014.26,1037.03
2005-03-09,1039.51,1044.01,1034.48,1042.18
2005-03-10,1042.74,1043.32,1008.40,1011.79
2005-03-11,1009.98,1018.11,1005.95,1017.45
2005-03-14,1016.72,1016.72,990.34,1005.99
2005-03-15,1005.51,1007.55,991.23,993.48
2005-03-16,991.75,991.77,977.60,982.84
2005-03-17,980.92,984.38,967.48,967.59
2005-03-18,965.18,969.39,943.69,946.71
2005-03-21,945.76,952.09,939.19,950.79
2005-03-22,950.80,951.15,915.73,915.94
2005-03-23,915.04,933.53,909.34,915.97
2005-03-24,914.47,928.68,906.58,928.54
2005-03-25,928.73,928.73,918.79,923.20
2005-03-28,921.89,921.89,896.95,911.35
2005-03-29,910.67,919.16,904.73,904.82
2005-03-30,902.01,902.01,868.89,869.58
2005-03-31,868.27,880.91,860.42,880.90
2005-04-01,880.26,921.49,870.60,913.85
2005-04-04,904.54,909.31,890.30,896.29
2005-04-05,894.29,898.45,884.66,886.20
2005-04-06,886.20,903.12,874.03,898.88
2005-04-07,898.60,925.78,897.65,913.66
2005-04-08,913.34,931.88,909.87,931.38
2005-04-11,930.52,940.15,924.60,931.97
2005-04-12,930.97,930.97,905.77,905.87
2005-04-13,908.76,929.66,908.76,929.11
2005-04-14,931.79,932.91,914.62,916.35
2005-04-15,912.68,912.68,886.01,887.93
2005-04-18,882.41,882.41,862.17,868.33
2005-04-19,867.35,871.67,856.70,867.23
2005-04-20,866.65,866.65,843.77,844.93
2005-04-21,843.57,846.79,820.48,826.05
2005-04-22,823.62,826.77,800.95,806.65
2005-04-25,792.11,794.46,778.24,789.54
2005-04-26,784.95,811.24,780.44,806.94
2005-04-27,809.90,809.90,789.96,790.24
2005-04-28,787.36,817.23,777.63,813.63
2005-04-29,812.84,814.27,801.00,802.28
2005-05-09,803.67,806.51,770.86,771.08
2005-05-10,767.78,773.20,746.65,773.20
2005-05-11,771.41,781.30,766.40,772.08
2005-05-12,772.16,778.23,761.26,769.02
2005-05-13,766.13,780.41,764.34,779.49
2005-05-16,778.48,778.48,770.59,776.54
2005-05-17,775.24,788.68,770.83,785.44
2005-05-18,785.25,794.76,780.58,794.57
2005-05-19,795.21,798.11,783.64,794.49
2005-05-20,794.71,797.34,787.57,787.90
2005-05-23,784.48,784.48,757.72,758.68
2005-05-24,756.41,782.26,753.41,777.77
2005-05-25,778.17,788.77,773.48,781.99
2005-05-26,781.52,784.46,770.66,772.87
2005-05-27,771.07,783.11,766.36,767.27
2005-05-30,764.93,777.65,761.48,776.41
2005-05-31,776.24,779.82,772.61,775.74
2005-06-01,775.55,775.55,755.93,760.51
2005-06-02,759.99,764.55,752.32,756.82
2005-06-03,755.93,762.25,747.06,756.91
2005-06-06,755.12,766.81,743.67,766.73
2005-06-07,767.28,780.69,763.67,767.91
2005-06-08,770.46,830.13,770.08,826.23
2005-06-09,825.58,848.34,815.38,836.83
2005-06-10,836.54,837.07,815.81,820.00
2005-06-13,821.90,828.71,810.45,825.87
2005-06-14,826.62,832.19,807.16,807.36
2005-06-15,805.59,805.59,786.85,788.29
2005-06-16,787.50,797.53,778.75,797.43
2005-06-17,799.17,801.79,786.99,790.55
2005-06-20,790.11,813.23,777.65,813.12
2005-06-21,813.87,815.00,803.07,806.02
2005-06-22,804.63,810.93,799.18,810.03
2005-06-23,807.94,809.02,794.54,796.05
2005-06-24,793.83,800.03,789.90,799.70
2005-06-27,804.25,828.19,804.25,822.88
2005-06-28,820.98,820.98,805.86,807.64
2005-06-29,809.28,812.73,804.08,805.10
2005-06-30,804.46,804.46,781.71,781.83
2005-07-01,779.48,779.48,742.13,743.12
2005-07-04,736.66,736.66,712.70,734.95
2005-07-05,732.54,738.87,722.22,729.36
2005-07-06,729.28,735.97,721.42,727.06
2005-07-07,726.93,737.01,723.96,732.05
2005-07-08,730.58,730.58,706.30,706.74
2005-07-11,709.05,726.19,693.62,694.83
2005-07-12,691.28,722.14,685.78,720.57
