"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年9月20日","1,892.67","1,878.57","1,892.67","1,876.68","1.47B","0.66%"
"2017年9月19日","1,880.30","1,896.62","1,901.27","1,877.14","1.57B","-0.77%"
"2017年9月18日","1,894.80","1,874.45","1,894.81","1,873.97","1.52B","1.02%"
"2017年9月15日","1,875.63","1,877.17","1,882.53","1,869.63","1.61B","-0.19%"
"2017年9月14日","1,879.25","1,887.36","1,892.99","1,874.22","1.61B","-0.49%"
"2017年9月13日","1,888.43","1,884.54","1,888.44","1,874.87","1.68B","0.21%"
"2017年9月12日","1,884.48","1,897.52","1,904.30","1,882.57","2.28B","-0.63%"
"2017年9月11日","1,896.38","1,883.65","1,896.38","1,880.14","1.73B","0.59%"
"2017年9月8日","1,885.27","1,888.39","1,895.86","1,872.91","1.81B","-0.27%"
"2017年9月7日","1,890.38","1,904.54","1,917.96","1,889.33","2.65B","-0.66%"
"2017年9月6日","1,902.86","1,880.70","1,902.86","1,877.27","2.26B","0.94%"
"2017年9月5日","1,885.16","1,881.67","1,891.79","1,873.16","2.01B","0.08%"
"2017年9月4日","1,883.62","1,863.02","1,888.98","1,858.39","2.22B","0.98%"
"2017年9月1日","1,865.25","1,850.02","1,865.81","1,840.52","1.86B","0.86%"
"2017年8月31日","1,849.38","1,841.00","1,850.81","1,839.81","1.36B","0.58%"
"2017年8月30日","1,838.63","1,830.70","1,849.24","1,830.55","1.38B","0.38%"
"2017年8月29日","1,831.59","1,842.15","1,850.82","1,828.54","1.58B","-0.61%"
"2017年8月28日","1,842.83","1,815.84","1,856.21","1,815.84","2.13B","1.65%"
"2017年8月25日","1,812.88","1,794.70","1,814.54","1,794.70","1.38B","0.95%"
"2017年8月24日","1,795.74","1,807.85","1,812.08","1,792.70","1.34B","-0.64%"
"2017年8月23日","1,807.37","1,813.43","1,818.65","1,801.15","1.50B","-0.42%"
"2017年8月22日","1,814.92","1,829.40","1,831.66","1,811.97","1.71B","-0.78%"
"2017年8月21日","1,829.22","1,823.37","1,834.66","1,818.86","1.68B","0.41%"
"2017年8月18日","1,821.80","1,822.07","1,835.67","1,817.64","1.82B","-0.63%"
"2017年8月17日","1,833.40","1,819.43","1,845.25","1,816.14","2.38B","0.45%"
"2017年8月16日","1,825.19","1,797.05","1,835.62","1,792.72","2.70B","1.48%"
"2017年8月15日","1,798.57","1,796.24","1,803.19","1,785.62","1.74B","0.28%"
"2017年8月14日","1,793.48","1,745.01","1,794.07","1,745.01","2.07B","2.95%"
"2017年8月11日","1,742.14","1,742.00","1,763.91","1,738.14","1.68B","-0.66%"
"2017年8月10日","1,753.67","1,761.43","1,777.19","1,741.40","1.68B","-0.53%"
"2017年8月9日","1,763.05","1,756.50","1,770.75","1,751.83","1.80B","0.04%"
"2017年8月8日","1,762.42","1,731.73","1,762.44","1,728.59","1.85B","1.73%"
"2017年8月7日","1,732.43","1,722.24","1,743.62","1,720.99","1.36B","0.74%"
"2017年8月4日","1,719.62","1,731.03","1,734.18","1,718.91","1.58B","-0.78%"
"2017年8月3日","1,733.12","1,723.03","1,757.76","1,716.53","1.94B","0.48%"
"2017年8月2日","1,724.83","1,740.39","1,744.30","1,723.23","1.62B","-0.93%"
"2017年8月1日","1,741.07","1,735.91","1,742.01","1,727.59","1.65B","0.27%"
"2017年7月31日","1,736.30","1,731.92","1,744.05","1,725.50","1.67B","0.13%"
"2017年7月28日","1,734.07","1,740.54","1,746.54","1,732.89","2.00B","-0.47%"
"2017年7月27日","1,742.19","1,678.87","1,742.92","1,675.30","2.49B","3.62%"
"2017年7月26日","1,681.31","1,689.48","1,692.62","1,674.22","1.19B","-0.40%"
"2017年7月25日","1,688.09","1,686.57","1,694.40","1,680.95","1.07B","0.10%"
"2017年7月24日","1,686.44","1,685.71","1,689.38","1,674.72","1.02B","-0.22%"
"2017年7月21日","1,690.15","1,688.79","1,699.67","1,685.79","986.54M","0.09%"
"2017年7月20日","1,688.61","1,684.26","1,712.70","1,683.11","1.14B","0.23%"
"2017年7月19日","1,684.77","1,663.16","1,685.74","1,654.77","1.09B","1.04%"
"2017年7月18日","1,667.49","1,646.64","1,672.72","1,641.38","1.13B","0.67%"
"2017年7月17日","1,656.43","1,730.70","1,730.70","1,656.43","1.71B","-5.11%"
