trade_date,start_close,natural_days_to_10pct_high_low_move,breach_date,breach_side,breach_high,breach_low,upper_bound,lower_bound
2005-01-04,989.98,86,2005-03-30,down,902.01,868.89,1088.98,890.98
2005-01-05,1013.58,28,2005-02-01,down,929.22,905.21,1114.94,912.22
2005-01-06,1005.47,28,2005-02-02,down,959.99,904.13,1106.02,904.92
2005-01-07,1011.74,26,2005-02-01,down,929.22,905.21,1112.91,910.57
2005-01-10,1023.64,23,2005-02-01,down,929.22,905.21,1126.00,921.28
2005-01-11,1027.16,21,2005-01-31,down,954.94,923.13,1129.88,924.44
2005-01-12,1024.92,21,2005-02-01,down,929.22,905.21,1127.41,922.43
2005-01-13,1029.30,19,2005-01-31,down,954.94,923.13,1132.23,926.37
2005-01-14,1011.88,19,2005-02-01,down,929.22,905.21,1113.07,910.69
2005-01-17,986.66,73,2005-03-30,down,902.01,868.89,1085.33,887.99
2005-01-18,1008.11,15,2005-02-01,down,929.22,905.21,1108.92,907.30
2005-01-19,1002.46,69,2005-03-28,down,921.89,896.95,1102.71,902.21
2005-01-20,989.44,70,2005-03-30,down,902.01,868.89,1088.38,890.50
2005-01-21,1006.25,12,2005-02-01,down,929.22,905.21,1106.88,905.62
2005-01-24,1028.01,8,2005-01-31,down,954.94,923.13,1130.81,925.21
2005-01-25,1015.10,8,2005-02-01,down,929.22,905.21,1116.61,913.59
2005-01-26,1006.84,7,2005-02-01,down,929.22,905.21,1107.52,906.16
2005-01-27,989.41,63,2005-03-30,down,902.01,868.89,1088.35,890.47
2005-01-28,963.01,63,2005-03-31,down,880.91,860.42,1059.31,866.71
2005-01-31,924.17,24,2005-02-23,up,1038.91,1010.43,1016.59,831.75
2005-02-01,905.80,22,2005-02-22,up,1016.38,982.76,996.38,815.22
2005-02-02,958.39,58,2005-03-31,down,880.91,860.42,1054.23,862.55
2005-02-03,936.86,21,2005-02-23,up,1038.91,1010.43,1030.55,843.17
2005-02-04,952.39,75,2005-04-19,down,871.67,856.70,1047.63,857.15
2005-02-16,966.39,43,2005-03-30,down,902.01,868.89,1063.03,869.75
2005-02-17,973.81,42,2005-03-30,down,902.01,868.89,1071.19,876.43
2005-02-18,964.01,42,2005-03-31,down,880.91,860.42,1060.41,867.61
2005-02-21,983.61,38,2005-03-30,down,902.01,868.89,1081.97,885.25
2005-02-22,1015.66,30,2005-03-23,down,933.53,909.34,1117.23,914.09
2005-02-23,1032.90,28,2005-03-22,down,951.15,915.73,1136.19,929.61
2005-02-24,1035.35,27,2005-03-22,down,951.15,915.73,1138.88,931.81
