日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2016-01-04,股票,大连电瓷(002606.XSHE),多,55600股,0股,16.2,900720,-100080,18,-,0,-100080,55600股,-10%,4518324.44,19.93%
2016-01-04,股票,高盟新材(300200.XSHE),多,57500股,0股,15.62,898150,-102350,17.4,-,0,-102350,57500股,-10.23%,4518324.44,19.88%
2016-01-04,股票,弘业股份(600128.XSHG),多,64200股,0股,14.14,907788,-93732,15.6,-,0,-93732,64200股,-9.36%,4518324.44,20.09%
2016-01-04,股票,兰州民百(600738.XSHG),多,90600股,0股,10.08,913248,-88788,11.06,-,0,-88788,90600股,-8.86%,4518324.44,20.21%
2016-01-04,股票,金自天正(600560.XSHG),多,53800股,0股,16.7,898460,-95226,18.47,-,0,-95226,53800股,-9.58%,4518324.44,19.88%
2016-01-04,,Cash,,,,,-41.56,,,,,,,,0
2016-01-05,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.59,866804,-133996,18,-,0,-33916,0股,-13.39%,4362651.44,19.87%
2016-01-05,股票,高盟新材(300200.XSHE),多,57500股,57500股,14.45,830875,-169625,17.4,-,0,-67275,0股,-16.95%,4362651.44,19.05%
2016-01-05,股票,弘业股份(600128.XSHG),多,64200股,64200股,14.02,900084,-101436,15.6,-,0,-7704,0股,-10.13%,4362651.44,20.63%
2016-01-05,股票,兰州民百(600738.XSHG),多,90600股,90600股,10.11,915966,-86070,11.06,-,0,2718,0股,-8.59%,4362651.44,21%
2016-01-05,股票,金自天正(600560.XSHG),多,53800股,53800股,15.78,848964,-144722,18.47,-,0,-49496,0股,-14.56%,4362651.44,19.46%
2016-01-05,,Cash,,,,,-41.56,,,,,,,,0
2016-01-06,股票,大连电瓷(002606.XSHE),多,55600股,55600股,16.3,906280,-94520,18,-,0,39476,0股,-9.44%,4541972.44,19.95%
2016-01-06,股票,高盟新材(300200.XSHE),多,57500股,57500股,15,862500,-138000,17.4,-,0,31625,0股,-13.79%,4541972.44,18.99%
2016-01-06,股票,弘业股份(600128.XSHG),多,64200股,64200股,14.66,941172,-60348,15.6,-,0,41088,0股,-6.03%,4541972.44,20.72%
2016-01-06,股票,兰州民百(600738.XSHG),多,90600股,90600股,10.56,956736,-45300,11.06,-,0,40770,0股,-4.52%,4541972.44,21.06%
2016-01-06,股票,金自天正(600560.XSHG),多,53800股,53800股,16.27,875326,-118360,18.47,-,0,26362,0股,-11.91%,4541972.44,19.27%
2016-01-06,,Cash,,,,,-41.56,,,,,,,,0
2016-01-07,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.68,816208,-184592,18,-,0,-90072,0股,-18.44%,4093238.44,19.94%
2016-01-07,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.5,776250,-224250,17.4,-,0,-86250,0股,-22.41%,4093238.44,18.96%
2016-01-07,股票,弘业股份(600128.XSHG),多,64200股,64200股,13.22,848724,-152796,15.6,-,0,-92448,0股,-15.26%,4093238.44,20.73%
2016-01-07,股票,兰州民百(600738.XSHG),多,90600股,90600股,9.5,860700,-141336,11.06,-,0,-96036,0股,-14.1%,4093238.44,21.03%
2016-01-07,股票,金自天正(600560.XSHG),多,53800股,53800股,14.71,791398,-202288,18.47,-,0,-83928,0股,-20.36%,4093238.44,19.33%
2016-01-07,,Cash,,,,,-41.56,,,,,,,,0
2016-01-08,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.14,841784,-159016,18,-,0,25576,0股,-15.89%,4204312.44,20.02%
2016-01-08,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.18,757850,-242650,17.4,-,0,-18400,0股,-24.25%,4204312.44,18.03%
2016-01-08,股票,弘业股份(600128.XSHG),多,64200股,64200股,13.82,887244,-114276,15.6,-,0,38520,0股,-11.41%,4204312.44,21.1%
2016-01-08,股票,兰州民百(600738.XSHG),多,90600股,90600股,9.8,887880,-114156,11.06,-,0,27180,0股,-11.39%,4204312.44,21.12%
2016-01-08,股票,金自天正(600560.XSHG),多,53800股,53800股,15.42,829596,-164090,18.47,-,0,38198,0股,-16.51%,4204312.44,19.73%
2016-01-08,,Cash,,,,,-41.56,,,,,,,,0
2016-01-11,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.98,777288,-223512,18,-,0,-64496,0股,-22.33%,3772507.86,20.6%
2016-01-11,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.86,681950,-318550,17.4,-,0,-75900,0股,-31.84%,3772507.86,18.08%
2016-01-11,股票,新亚制程(002388.XSHE),多,102100股,0股,7.52,767792,-69428,8.2,-,0,-69428,102100股,-8.29%,3772507.86,20.35%
2016-01-11,股票,茂硕电源(002660.XSHE),多,71300股,0股,10.86,774318,-61318,11.72,-,0,-61318,71300股,-7.34%,3772507.86,20.53%
2016-01-11,股票,金花股份(600080.XSHG),多,77600股,0股,9.96,772896,-58976,10.72,-,0,-58976,77600股,-7.09%,3772507.86,20.49%
2016-01-11,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-12,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.26,792856,-207944,18,-,0,15568,0股,-20.78%,3816097.86,20.78%
2016-01-12,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.14,698050,-302450,17.4,-,0,16100,0股,-30.23%,3816097.86,18.29%
2016-01-12,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.44,759624,-77596,8.2,-,0,-8168,0股,-9.27%,3816097.86,19.91%
2016-01-12,股票,茂硕电源(002660.XSHE),多,71300股,71300股,11.12,792856,-42780,11.72,-,0,18538,0股,-5.12%,3816097.86,20.78%
2016-01-12,股票,金花股份(600080.XSHG),多,77600股,77600股,9.98,774448,-57424,10.72,-,0,1552,0股,-6.9%,3816097.86,20.29%
2016-01-12,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-13,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.69,761164,-239636,18,-,0,-31692,0股,-23.94%,3613318.86,21.07%
2016-01-13,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.42,656650,-343850,17.4,-,0,-41400,0股,-34.37%,3613318.86,18.17%
2016-01-13,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.15,730015,-107205,8.2,-,0,-29609,0股,-12.8%,3613318.86,20.2%
2016-01-13,股票,茂硕电源(002660.XSHE),多,71300股,71300股,10.5,748650,-86986,11.72,-,0,-44206,0股,-10.41%,3613318.86,20.72%
2016-01-13,股票,金花股份(600080.XSHG),多,77600股,77600股,9.26,718576,-113296,10.72,-,0,-55872,0股,-13.62%,3613318.86,19.89%
2016-01-13,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-14,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.95,775620,-225180,18,-,0,14456,0股,-22.5%,3764037.86,20.61%
2016-01-14,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.01,690575,-309925,17.4,-,0,33925,0股,-30.98%,3764037.86,18.35%
2016-01-14,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.44,759624,-77596,8.2,-,0,29609,0股,-9.27%,3764037.86,20.18%
2016-01-14,股票,茂硕电源(002660.XSHE),多,71300股,71300股,11.15,794995,-40641,11.72,-,0,46345,0股,-4.86%,3764037.86,21.12%
2016-01-14,股票,金花股份(600080.XSHG),多,77600股,77600股,9.6,744960,-86912,10.72,-,0,26384,0股,-10.45%,3764037.86,19.79%
2016-01-14,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-15,股票,大连电瓷(002606.XSHE),多,55600股,55600股,12.84,713904,-286896,18,-,0,-61716,0股,-28.67%,3563471.86,20.03%
2016-01-15,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.52,662400,-338100,17.4,-,0,-28175,0股,-33.79%,3563471.86,18.59%
2016-01-15,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.07,721847,-115373,8.2,-,0,-37777,0股,-13.78%,3563471.86,20.26%
2016-01-15,股票,茂硕电源(002660.XSHE),多,71300股,71300股,10.65,759345,-76291,11.72,-,0,-35650,0股,-9.13%,3563471.86,21.31%
2016-01-15,股票,金花股份(600080.XSHG),多,77600股,77600股,9.12,707712,-124160,10.72,-,0,-37248,0股,-14.93%,3563471.86,19.86%
2016-01-15,,Cash,,,,,-1736.14,,,,,,,,0
2016-01-18,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.69,761164,-239636,18,-,0,47260,0股,-23.94%,3698281.21,20.58%
2016-01-18,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.09,695175,-305325,17.4,-,0,32775,0股,-30.52%,3698281.21,18.8%
2016-01-18,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.24,739204,-98016,8.2,-,0,17357,0股,-11.71%,3698281.21,19.99%
2016-01-18,股票,金花股份(600080.XSHG),多,77600股,77600股,9.5,737200,-94672,10.72,-,0,29488,0股,-11.38%,3698281.21,19.93%
2016-01-18,股票,兰州民百(600738.XSHG),多,95900股,0股,8.01,768159,35483,7.64,-,0,35483,95900股,4.84%,3698281.21,20.77%
2016-01-18,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-19,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.37,798972,-201828,18,-,0,37808,0股,-20.17%,3930956.21,20.33%
2016-01-19,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.88,740600,-259900,17.4,-,0,45425,0股,-25.98%,3930956.21,18.84%
2016-01-19,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.96,812716,-24504,8.2,-,0,73512,0股,-2.93%,3930956.21,20.67%
2016-01-19,股票,金花股份(600080.XSHG),多,77600股,77600股,9.91,769016,-62856,10.72,-,0,31816,0股,-7.56%,3930956.21,19.56%
2016-01-19,股票,兰州民百(600738.XSHG),多,95900股,95900股,8.47,812273,79597,7.64,-,0,44114,0股,10.86%,3930956.21,20.66%
2016-01-19,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-20,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.33,796748,-204052,18,-,0,-2224,0股,-20.39%,3923452.21,20.31%
2016-01-20,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.68,729100,-271400,17.4,-,0,-11500,0股,-27.13%,3923452.21,18.58%
2016-01-20,股票,新亚制程(002388.XSHE),多,102100股,102100股,8.08,824968,-12252,8.2,-,0,12252,0股,-1.46%,3923452.21,21.03%
2016-01-20,股票,金花股份(600080.XSHG),多,77600股,77600股,10.03,778328,-53544,10.72,-,0,9312,0股,-6.44%,3923452.21,19.84%
2016-01-20,股票,兰州民百(600738.XSHG),多,95900股,95900股,8.31,796929,64253,7.64,-,0,-15344,0股,8.77%,3923452.21,20.31%
2016-01-20,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-21,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.93,774508,-226292,18,-,0,-22240,0股,-22.61%,3729809.21,20.77%
2016-01-21,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.15,698625,-301875,17.4,-,0,-30475,0股,-30.17%,3729809.21,18.73%
2016-01-21,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.51,766771,-70449,8.2,-,0,-58197,0股,-8.41%,3729809.21,20.56%
2016-01-21,股票,金花股份(600080.XSHG),多,77600股,77600股,9.52,738752,-93120,10.72,-,0,-39576,0股,-11.19%,3729809.21,19.81%
2016-01-21,股票,兰州民百(600738.XSHG),多,95900股,95900股,7.86,753774,21098,7.64,-,0,-43155,0股,2.88%,3729809.21,20.21%
2016-01-21,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-22,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.25,792300,-208500,18,-,0,17792,0股,-20.83%,3835376.21,20.66%
2016-01-22,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.49,718175,-282325,17.4,-,0,19550,0股,-28.22%,3835376.21,18.73%
2016-01-22,股票,新亚制程(002388.XSHE),多,102100股,102100股,7.82,798422,-38798,8.2,-,0,31651,0股,-4.63%,3835376.21,20.82%
2016-01-22,股票,金花股份(600080.XSHG),多,77600股,77600股,9.67,750392,-81480,10.72,-,0,11640,0股,-9.79%,3835376.21,19.57%
2016-01-22,股票,兰州民百(600738.XSHG),多,95900股,95900股,8.12,778708,46032,7.64,-,0,24934,0股,6.28%,3835376.21,20.3%
2016-01-22,,Cash,,,,,-2620.79,,,,,,,,0
2016-01-25,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.75,820100,-180700,18,-,0,27800,0股,-18.06%,3949994.47,20.76%
2016-01-25,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.86,739450,-261050,17.4,-,0,21275,0股,-26.09%,3949994.47,18.72%
2016-01-25,股票,金花股份(600080.XSHG),多,77600股,77600股,9.75,756600,-75272,10.72,-,0,6208,0股,-9.05%,3949994.47,19.15%
2016-01-25,股票,兰州民百(600738.XSHG),多,95900股,95900股,8.55,819945,87269,7.64,-,0,41237,0股,11.91%,3949994.47,20.76%
2016-01-25,股票,弘业股份(600128.XSHG),多,66000股,0股,12.35,815100,11220,12.18,-,0,11220,66000股,1.4%,3949994.47,20.64%
2016-01-25,,Cash,,,,,-1200.53,,,,,,,,0
2016-01-26,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.49,750044,-250756,18,-,0,-70056,0股,-25.06%,3591106.47,20.89%
2016-01-26,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.57,665275,-335225,17.4,-,0,-74175,0股,-33.51%,3591106.47,18.53%
2016-01-26,股票,金花股份(600080.XSHG),多,77600股,77600股,8.8,682880,-148992,10.72,-,0,-73720,0股,-17.91%,3591106.47,19.02%
2016-01-26,股票,兰州民百(600738.XSHG),多,95900股,95900股,7.92,759528,26852,7.64,-,0,-60417,0股,3.66%,3591106.47,21.15%
2016-01-26,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.13,734580,-69300,12.18,-,0,-80520,0股,-8.62%,3591106.47,20.46%
2016-01-26,,Cash,,,,,-1200.53,,,,,,,,0
2016-01-27,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.2,733920,-266880,18,-,0,-16124,0股,-26.67%,3553163.47,20.66%
2016-01-27,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.48,660100,-340400,17.4,-,0,-5175,0股,-34.02%,3553163.47,18.58%
2016-01-27,股票,金花股份(600080.XSHG),多,77600股,77600股,8.72,676672,-155200,10.72,-,0,-6208,0股,-18.66%,3553163.47,19.04%
2016-01-27,股票,兰州民百(600738.XSHG),多,95900股,95900股,7.88,755692,23016,7.64,-,0,-3836,0股,3.14%,3553163.47,21.27%
2016-01-27,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.03,727980,-75900,12.18,-,0,-6600,0股,-9.44%,3553163.47,20.49%
2016-01-27,,Cash,,,,,-1200.53,,,,,,,,0
2016-01-28,股票,大连电瓷(002606.XSHE),多,55600股,55600股,12.81,712236,-288564,18,-,0,-21684,0股,-28.83%,3395886.47,20.97%
2016-01-28,股票,高盟新材(300200.XSHE),多,57500股,57500股,10.89,626175,-374325,17.4,-,0,-33925,0股,-37.41%,3395886.47,18.44%
2016-01-28,股票,金花股份(600080.XSHG),多,77600股,77600股,8.28,642528,-189344,10.72,-,0,-34144,0股,-22.76%,3395886.47,18.92%
2016-01-28,股票,兰州民百(600738.XSHG),多,95900股,95900股,7.52,721168,-11508,7.64,-,0,-34524,0股,-1.57%,3395886.47,21.24%
2016-01-28,股票,弘业股份(600128.XSHG),多,66000股,66000股,10.53,694980,-108900,12.18,-,0,-33000,0股,-13.55%,3395886.47,20.47%
2016-01-28,,Cash,,,,,-1200.53,,,,,,,,0
2016-01-29,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.56,753936,-246864,18,-,0,41700,0股,-24.67%,3584220.47,21.03%
2016-01-29,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.45,658375,-342125,17.4,-,0,32200,0股,-34.2%,3584220.47,18.37%
2016-01-29,股票,金花股份(600080.XSHG),多,77600股,77600股,8.72,676672,-155200,10.72,-,0,34144,0股,-18.66%,3584220.47,18.88%
2016-01-29,股票,兰州民百(600738.XSHG),多,95900股,95900股,8.02,769118,36442,7.64,-,0,47950,0股,4.97%,3584220.47,21.46%
2016-01-29,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.02,727320,-76560,12.18,-,0,32340,0股,-9.52%,3584220.47,20.29%
2016-01-29,,Cash,,,,,-1200.53,,,,,,,,0
2016-02-01,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.19,733364,-267436,18,-,0,-20572,0股,-26.72%,3561869.44,20.59%
2016-02-01,股票,高盟新材(300200.XSHE),多,57500股,57500股,11.33,651475,-349025,17.4,-,0,-6900,0股,-34.89%,3561869.44,18.29%
2016-02-01,股票,金花股份(600080.XSHG),多,77600股,77600股,8.65,671240,-160632,10.72,-,0,-5432,0股,-19.31%,3561869.44,18.85%
2016-02-01,股票,弘业股份(600128.XSHG),多,66000股,66000股,10.96,723360,-80520,12.18,-,0,-3960,0股,-10.02%,3561869.44,20.31%
2016-02-01,股票,宁波中百(600857.XSHG),多,63200股,0股,12.4,783680,21488,12.06,-,0,21488,63200股,2.82%,3561869.44,22%
2016-02-01,,Cash,,,,,-1249.56,,,,,,,,0
2016-02-02,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.61,756716,-244084,18,-,0,23352,0股,-24.39%,3710746.44,20.39%
2016-02-02,股票,高盟新材(300200.XSHE),多,57500股,57500股,12,690000,-310500,17.4,-,0,38525,0股,-31.03%,3710746.44,18.59%
2016-02-02,股票,金花股份(600080.XSHG),多,77600股,77600股,8.96,695296,-136576,10.72,-,0,24056,0股,-16.42%,3710746.44,18.74%
2016-02-02,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.32,747120,-56760,12.18,-,0,23760,0股,-7.06%,3710746.44,20.13%
2016-02-02,股票,宁波中百(600857.XSHG),多,63200股,63200股,13.02,822864,60672,12.06,-,0,39184,0股,7.96%,3710746.44,22.18%
2016-02-02,,Cash,,,,,-1249.56,,,,,,,,0
2016-02-03,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.94,775064,-225736,18,-,0,18348,0股,-22.56%,3784534.44,20.48%
2016-02-03,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.6,724500,-276000,17.4,-,0,34500,0股,-27.59%,3784534.44,19.14%
2016-02-03,股票,金花股份(600080.XSHG),多,77600股,77600股,9.04,701504,-130368,10.72,-,0,6208,0股,-15.67%,3784534.44,18.54%
2016-02-03,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.39,751740,-52140,12.18,-,0,4620,0股,-6.49%,3784534.44,19.86%
2016-02-03,股票,宁波中百(600857.XSHG),多,63200股,63200股,13.18,832976,70784,12.06,-,0,10112,0股,9.29%,3784534.44,22.01%
2016-02-03,,Cash,,,,,-1249.56,,,,,,,,0
2016-02-04,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.03,780068,-220732,18,-,0,5004,0股,-22.06%,3847351.44,20.28%
2016-02-04,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.67,728525,-271975,17.4,-,0,4025,0股,-27.18%,3847351.44,18.94%
2016-02-04,股票,金花股份(600080.XSHG),多,77600股,77600股,9.28,720128,-111744,10.72,-,0,18624,0股,-13.43%,3847351.44,18.72%
2016-02-04,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.76,776160,-27720,12.18,-,0,24420,0股,-3.45%,3847351.44,20.17%
2016-02-04,股票,宁波中百(600857.XSHG),多,63200股,63200股,13.35,843720,81528,12.06,-,0,10744,0股,10.7%,3847351.44,21.93%
2016-02-04,,Cash,,,,,-1249.56,,,,,,,,0
2016-02-05,股票,大连电瓷(002606.XSHE),多,55600股,55600股,13.86,770616,-230184,18,-,0,-9452,0股,-23%,3819314.44,20.18%
2016-02-05,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.52,719900,-280600,17.4,-,0,-8625,0股,-28.05%,3819314.44,18.85%
2016-02-05,股票,金花股份(600080.XSHG),多,77600股,77600股,9.27,719352,-112520,10.72,-,0,-776,0股,-13.53%,3819314.44,18.83%
2016-02-05,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.64,768240,-35640,12.18,-,0,-7920,0股,-4.43%,3819314.44,20.11%
2016-02-05,股票,宁波中百(600857.XSHG),多,63200股,63200股,13.33,842456,80264,12.06,-,0,-1264,0股,10.53%,3819314.44,22.06%
2016-02-05,,Cash,,,,,-1249.56,,,,,,,,0
2016-02-15,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.33,796748,-204052,18,-,0,26132,0股,-20.39%,3823284.07,20.84%
2016-02-15,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.38,711850,-288650,17.4,-,0,-8050,0股,-28.85%,3823284.07,18.62%
2016-02-15,股票,金花股份(600080.XSHG),多,77600股,77600股,9.23,716248,-115624,10.72,-,0,-3104,0股,-13.9%,3823284.07,18.73%
2016-02-15,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.58,764280,-39600,12.18,-,0,-3960,0股,-4.93%,3823284.07,19.99%
2016-02-15,股票,京能置业(600791.XSHG),多,132400股,0股,6.32,836768,26480,6.12,-,0,26480,132400股,3.27%,3823284.07,21.89%
2016-02-15,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-16,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.92,829552,-171248,18,-,0,32804,0股,-17.11%,3997651.07,20.75%
2016-02-16,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.83,737725,-262775,17.4,-,0,25875,0股,-26.26%,3997651.07,18.45%
2016-02-16,股票,金花股份(600080.XSHG),多,77600股,77600股,9.69,751944,-79928,10.72,-,0,35696,0股,-9.61%,3997651.07,18.81%
2016-02-16,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.13,800580,-3300,12.18,-,0,36300,0股,-0.41%,3997651.07,20.03%
2016-02-16,股票,京能置业(600791.XSHG),多,132400股,132400股,6.65,880460,70172,6.12,-,0,43692,0股,8.66%,3997651.07,22.02%
2016-02-16,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-17,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.1,839560,-161240,18,-,0,10008,0股,-16.11%,4033993.07,20.81%
2016-02-17,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.85,738875,-261625,17.4,-,0,1150,0股,-26.15%,4033993.07,18.32%
2016-02-17,股票,金花股份(600080.XSHG),多,77600股,77600股,9.81,761256,-70616,10.72,-,0,9312,0股,-8.49%,4033993.07,18.87%
2016-02-17,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.21,805860,1980,12.18,-,0,5280,0股,0.25%,4033993.07,19.98%
2016-02-17,股票,京能置业(600791.XSHG),多,132400股,132400股,6.73,891052,80764,6.12,-,0,10592,0股,9.97%,4033993.07,22.09%
2016-02-17,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-18,股票,大连电瓷(002606.XSHE),多,55600股,55600股,14.63,813428,-187372,18,-,0,-26132,0股,-18.72%,4014098.07,20.26%
2016-02-18,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.76,733700,-266800,17.4,-,0,-5175,0股,-26.67%,4014098.07,18.28%
2016-02-18,股票,金花股份(600080.XSHG),多,77600股,77600股,9.71,753496,-78376,10.72,-,0,-7760,0股,-9.42%,4014098.07,18.77%
2016-02-18,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.34,814440,10560,12.18,-,0,8580,0股,1.31%,4014098.07,20.29%
2016-02-18,股票,京能置业(600791.XSHG),多,132400股,132400股,6.81,901644,91356,6.12,-,0,10592,0股,11.27%,4014098.07,22.46%
2016-02-18,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-19,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.01,834556,-166244,18,-,0,21128,0股,-16.61%,4120026.07,20.26%
2016-02-19,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.88,740600,-259900,17.4,-,0,6900,0股,-25.98%,4120026.07,17.98%
2016-02-19,股票,金花股份(600080.XSHG),多,77600股,77600股,10.68,828768,-3104,10.72,-,0,75272,0股,-0.37%,4120026.07,20.12%
2016-02-19,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.44,821040,17160,12.18,-,0,6600,0股,2.13%,4120026.07,19.93%
2016-02-19,股票,京能置业(600791.XSHG),多,132400股,132400股,6.78,897672,87384,6.12,-,0,-3972,0股,10.78%,4120026.07,21.79%
2016-02-19,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-22,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.31,851236,-149564,18,-,0,16680,0股,-14.94%,4209213.07,20.22%
2016-02-22,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.21,759575,-240925,17.4,-,0,18975,0股,-24.08%,4209213.07,18.05%
2016-02-22,股票,金花股份(600080.XSHG),多,77600股,77600股,10.68,828768,-3104,10.72,-,0,0,0股,-0.37%,4209213.07,19.69%
2016-02-22,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.89,850740,46860,12.18,-,0,29700,0股,5.83%,4209213.07,20.21%
2016-02-22,股票,京能置业(600791.XSHG),多,132400股,132400股,6.96,921504,111216,6.12,-,0,23832,0股,13.73%,4209213.07,21.89%
2016-02-22,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-23,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.44,858464,-142336,18,-,0,7228,0股,-14.22%,4185170.07,20.51%
2016-02-23,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.08,752100,-248400,17.4,-,0,-7475,0股,-24.83%,4185170.07,17.97%
2016-02-23,股票,金花股份(600080.XSHG),多,77600股,77600股,10.68,828768,-3104,10.72,-,0,0,0股,-0.37%,4185170.07,19.8%
2016-02-23,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.71,838860,34980,12.18,-,0,-11880,0股,4.35%,4185170.07,20.04%
2016-02-23,股票,京能置业(600791.XSHG),多,132400股,132400股,6.87,909588,99300,6.12,-,0,-11916,0股,12.25%,4185170.07,21.73%
2016-02-23,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-24,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.87,882372,-118428,18,-,0,23908,0股,-11.83%,4258266.07,20.72%
2016-02-24,股票,高盟新材(300200.XSHE),多,57500股,57500股,13.36,768200,-232300,17.4,-,0,16100,0股,-23.22%,4258266.07,18.04%
2016-02-24,股票,金花股份(600080.XSHG),多,77600股,77600股,10.68,828768,-3104,10.72,-,0,0,0股,-0.37%,4258266.07,19.46%
2016-02-24,股票,弘业股份(600128.XSHG),多,66000股,66000股,12.77,842820,38940,12.18,-,0,3960,0股,4.84%,4258266.07,19.79%
2016-02-24,股票,京能置业(600791.XSHG),多,132400股,132400股,7.09,938716,128428,6.12,-,0,29128,0股,15.85%,4258266.07,22.04%
2016-02-24,,Cash,,,,,-2609.93,,,,,,,,0
2016-02-25,股票,大连电瓷(002606.XSHE),多,55600股,55600股,15.59,866804,-133996,18,-,0,-15568,0股,-13.39%,3987164.07,21.74%
2016-02-25,股票,高盟新材(300200.XSHE),多,57500股,57500股,12.02,691150,-309350,17.4,-,0,-77050,0股,-30.92%,3987164.07,17.33%
2016-02-25,股票,金花股份(600080.XSHG),多,77600股,77600股,10.68,828768,-3104,10.72,-,0,0,0股,-0.37%,3987164.07,20.79%
2016-02-25,股票,弘业股份(600128.XSHG),多,66000股,66000股,11.49,758340,-45540,12.18,-,0,-84480,0股,-5.67%,3987164.07,19.02%
2016-02-25,股票,京能置业(600791.XSHG),多,132400股,132400股,6.38,844712,34424,6.12,-,0,-94004,0股,4.25%,3987164.07,21.19%
2016-02-25,,Cash,,,,,-2609.93,,,,,,,,0
