"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年7月15日","4,093.11","4,089.35","4,098.28","4,063.60","66.83K","0.06%"
"2014年7月14日","4,090.80","4,033.71","4,090.80","4,033.70","60.59K","1.52%"
"2014年7月11日","4,029.75","3,979.73","4,033.89","3,978.10","53.08K","1.19%"
"2014年7月10日","3,982.20","3,980.50","4,008.13","3,975.70","48.71K","-0.01%"
"2014年7月9日","3,982.40","4,033.82","4,047.38","3,981.25","56.95K","-1.42%"
"2014年7月8日","4,039.71","4,012.55","4,039.92","3,982.33","50.18K","0.63%"
"2014年7月7日","4,014.49","4,004.10","4,024.37","3,992.28","51.20K","0.25%"
"2014年7月4日","4,004.56","4,018.39","4,022.22","3,997.76","55.17K","-0.38%"
"2014年7月3日","4,019.65","3,978.82","4,026.07","3,972.12","61.18K","1.01%"
"2014年7月2日","3,979.31","3,950.47","3,979.37","3,937.24","52.97K","0.70%"
"2014年7月1日","3,951.73","3,927.48","3,951.92","3,917.53","48.81K","0.68%"
"2014年6月30日","3,924.90","3,895.15","3,925.44","3,889.65","49.21K","0.91%"
"2014年6月27日","3,889.32","3,861.10","3,905.54","3,853.75","48.48K","0.71%"
"2014年6月26日","3,861.95","3,812.91","3,863.10","3,812.91","40.55K","1.26%"
"2014年6月25日","3,814.03","3,835.59","3,835.59","3,803.29","30.42K","-0.66%"
"2014年6月24日","3,839.20","3,814.53","3,839.59","3,812.75","34.15K","0.61%"
"2014年6月23日","3,815.88","3,790.84","3,827.83","3,790.84","32.20K","0.70%"
"2014年6月20日","3,789.34","3,751.18","3,789.41","3,751.08","29.33K","0.90%"
"2014年6月19日","3,755.69","3,853.59","3,860.30","3,739.41","43.35K","-2.65%"
"2014年6月18日","3,858.10","3,878.69","3,881.39","3,855.23","40.69K","-0.55%"
"2014年6月17日","3,879.34","3,909.62","3,909.62","3,876.23","39.86K","-0.91%"
"2014年6月16日","3,914.98","3,893.92","3,915.21","3,893.17","39.30K","0.60%"
"2014年6月13日","3,891.56","3,846.62","3,894.54","3,843.62","39.84K","1.08%"
"2014年6月12日","3,850.11","3,851.23","3,857.91","3,832.94","35.14K","-0.21%"
"2014年6月11日","3,858.05","3,838.67","3,859.03","3,832.53","31.92K","0.47%"
"2014年6月10日","3,840.02","3,801.51","3,840.24","3,784.05","30.30K","1.12%"
"2014年6月9日","3,797.43","3,809.59","3,830.60","3,795.17","26.82K","-0.55%"
"2014年6月6日","3,818.33","3,833.38","3,837.40","3,800.09","29.93K","-0.36%"
"2014年6月5日","3,832.06","3,783.88","3,832.38","3,779.99","29.58K","1.13%"
"2014年6月4日","3,789.29","3,820.50","3,820.76","3,760.29","30.24K","-0.87%"
"2014年6月3日","3,822.72","3,833.12","3,845.48","3,821.43","30.16K","-0.17%"
"2014年5月30日","3,829.24","3,818.47","3,840.86","3,798.80","34.48K","0.19%"
"2014年5月29日","3,821.87","3,862.30","3,874.10","3,821.42","37.37K","-1.03%"
"2014年5月28日","3,861.59","3,818.35","3,862.10","3,813.00","36.78K","1.13%"
"2014年5月27日","3,818.32","3,825.37","3,834.42","3,812.89","32.74K","-0.24%"
"2014年5月26日","3,827.49","3,798.73","3,827.59","3,798.73","33.40K","1.08%"
"2014年5月23日","3,786.56","3,742.99","3,786.56","3,742.98","28.88K","1.08%"
"2014年5月22日","3,746.14","3,748.93","3,788.06","3,744.60","30.96K","-0.03%"
"2014年5月21日","3,747.33","3,708.12","3,747.55","3,680.89","24.05K","0.85%"
"2014年5月20日","3,715.71","3,720.23","3,748.75","3,708.14","24.85K","0.28%"
"2014年5月19日","3,705.36","3,722.39","3,722.39","3,679.64","24.20K","-0.57%"
"2014年5月16日","3,726.66","3,722.56","3,733.28","3,685.07","26.71K","-0.15%"
"2014年5月15日","3,732.34","3,797.12","3,799.08","3,728.32","30.77K","-1.88%"
"2014年5月14日","3,803.80","3,805.15","3,816.40","3,796.11","28.31K","-0.08%"
"2014年5月13日","3,806.89","3,810.49","3,819.75","3,788.46","35.82K","-0.15%"
"2014年5月12日","3,812.76","3,738.67","3,812.83","3,730.95","42.46K","2.60%"
"2014年5月9日","3,716.02","3,748.49","3,752.46","3,688.05","29.49K","-1.01%"
"2014年5月8日","3,754.01","3,740.25","3,798.21","3,733.75","30.52K","0.11%"
"2014年5月7日","3,749.97","3,806.84","3,806.84","3,747.78","29.36K","-1.78%"
"2014年5月6日","3,817.98","3,795.36","3,831.41","3,790.50","30.60K","0.52%"
"2014年5月5日","3,798.29","3,761.23","3,798.36","3,746.19","28.62K","0.85%"
"2014年4月30日","3,766.17","3,734.80","3,770.73","3,728.41","26.59K","0.73%"
"2014年4月29日","3,738.93","3,678.62","3,739.25","3,678.01","28.30K","1.47%"
"2014年4月28日","3,684.59","3,785.96","3,785.96","3,679.96","36.67K","-3.05%"
"2014年4月25日","3,800.68","3,879.45","3,886.76","3,797.47","36.00K","-2.17%"
"2014年4月24日","3,884.81","3,924.45","3,931.51","3,884.59","32.35K","-1.13%"
"2014年4月23日","3,929.17","3,942.50","3,956.41","3,913.17","30.74K","-0.46%"
"2014年4月22日","3,947.17","3,957.22","3,974.63","3,889.78","41.94K","-0.46%"
"2014年4月21日","3,965.34","4,004.61","4,032.85","3,962.29","40.25K","-1.59%"
"2014年4月18日","4,029.26","4,006.88","4,029.76","3,995.55","34.74K","0.36%"
"2014年4月17日","4,014.94","4,025.38","4,035.37","4,012.71","38.72K","-0.12%"
