日期,收盘,开盘,高,低,交易量,涨跌幅
2014年3月20日,"1,406.91","1,415.67","1,432.51","1,406.26",2.06B,-0.83%
2014年3月19日,"1,418.71","1,422.34","1,422.34","1,406.55",1.60B,-0.62%
2014年3月18日,"1,427.63","1,437.54","1,438.93","1,425.74",1.80B,-0.46%
2014年3月17日,"1,434.16","1,435.27","1,438.37","1,421.42",1.50B,0.54%
2014年3月14日,"1,426.39","1,429.78","1,438.67","1,416.68",1.97B,-0.77%
2014年3月13日,"1,437.39","1,425.84","1,451.29","1,421.69",2.65B,1.32%
2014年3月12日,"1,418.70","1,408.05","1,429.30","1,403.28",2.27B,0.42%
2014年3月11日,"1,412.73","1,406.07","1,420.90","1,403.31",1.89B,0.27%
2014年3月10日,"1,408.87","1,442.98","1,442.99","1,407.49",2.53B,-3.21%
2014年3月7日,"1,455.58","1,456.09","1,472.08","1,451.71",2.35B,-0.27%
2014年3月6日,"1,459.51","1,446.57","1,466.03","1,435.94",2.52B,0.77%
2014年3月5日,"1,448.33","1,466.01","1,466.96","1,445.67",2.04B,-0.50%
2014年3月4日,"1,455.65","1,458.68","1,460.61","1,448.69",2.04B,-0.48%
2014年3月3日,"1,462.69","1,459.86","1,467.71","1,452.13",2.98B,-0.11%
2014年2月28日,"1,464.32","1,447.77","1,467.10","1,437.31",2.59B,0.82%
2014年2月27日,"1,452.46","1,449.14","1,462.12","1,437.64",3.25B,0.57%
2014年2月26日,"1,444.20","1,434.86","1,447.17","1,429.61",2.33B,0.23%
2014年2月25日,"1,440.89","1,469.26","1,475.97","1,437.01",2.62B,-1.85%
2014年2月24日,"1,468.06","1,492.28","1,492.28","1,458.17",2.89B,-2.48%
2014年2月21日,"1,505.33","1,517.92","1,521.77","1,496.09",2.42B,-0.97%
2014年2月20日,"1,520.14","1,537.94","1,556.42","1,519.36",3.61B,-0.86%
2014年2月19日,"1,533.40","1,507.49","1,541.45","1,504.95",3.16B,1.65%
2014年2月18日,"1,508.54","1,535.89","1,535.89","1,505.42",2.53B,-1.92%
2014年2月17日,"1,538.10","1,545.18","1,549.91","1,529.19",2.69B,0.25%
2014年2月14日,"1,534.24","1,527.21","1,536.36","1,525.15",2.12B,0.41%
2014年2月13日,"1,528.02","1,525.52","1,548.62","1,519.38",3.52B,0.07%
2014年2月12日,"1,527.00","1,528.88","1,537.89","1,521.27",2.38B,-0.09%
2014年2月11日,"1,528.32","1,505.66","1,536.46","1,500.84",3.42B,1.49%
2014年2月10日,"1,505.83","1,480.59","1,507.36","1,480.53",2.43B,2.07%
2014年2月7日,"1,475.34","1,467.36","1,475.72","1,458.49",1.38B,-0.14%
2014年1月30日,"1,477.35","1,489.51","1,489.72","1,475.77",1.28B,-1.15%
2014年1月29日,"1,494.49","1,493.21","1,498.57","1,488.70",1.48B,0.45%
2014年1月28日,"1,487.80","1,483.41","1,492.43","1,477.25",1.49B,0.60%
2014年1月27日,"1,478.87","1,491.83","1,491.83","1,475.50",1.90B,-1.54%
2014年1月24日,"1,502.06","1,493.69","1,514.11","1,491.02",1.90B,0.20%
2014年1月23日,"1,499.03","1,511.79","1,514.97","1,496.66",1.74B,-1.00%
2014年1月22日,"1,514.12","1,480.84","1,514.79","1,478.08",2.42B,2.38%
2014年1月21日,"1,478.88","1,467.15","1,488.71","1,467.15",1.27B,0.96%
2014年1月20日,"1,464.84","1,472.39","1,476.88","1,459.45",1.28B,-0.73%
2014年1月17日,"1,475.67","1,487.80","1,489.60","1,470.87",1.80B,-1.17%
2014年1月16日,"1,493.09","1,489.05","1,504.43","1,482.76",1.74B,0.31%
2014年1月15日,"1,488.51","1,496.83","1,498.90","1,480.18",1.47B,-0.72%
2014年1月14日,"1,499.29","1,493.89","1,505.46","1,482.91",1.77B,0.31%
