bucket,start_day,end_day,count,percentage
1-10,1,10,501,32.2394
11-20,11,20,452,29.0862
21-30,21,30,259,16.6667
31-40,31,40,135,8.6873
41-50,41,50,71,4.5689
51-60,51,60,51,3.2819
61-70,61,70,38,2.4453
71-80,71,80,23,1.4801
81-90,81,90,10,0.6435
91-100,91,100,8,0.5148
101-110,101,110,3,0.1931
no_breach_yet,,,3,0.1931
